datetime,timestamp,temperature,humidity,light_intensity,voc,pm_1_0,pm_2_5,pm_4_0,pm_10_0,decibel,co2,pressure,formaldehyde,voc_index
2025-06-01 17:00:51,1748782851.0,21.17,57.85,80.0,0.05,2.7,2.9,2.9,2.9,60.0,418.0,1000.22,0.0,47.0
2025-06-01 17:01:51,1748782911.0,21.17,57.88,80.0,0.05,2.7,2.9,2.9,2.9,60.0,417.0,1000.21,0.0,47.0
2025-06-01 17:02:51,1748782971.0,21.17,57.88,80.0,0.05,2.6,2.7,2.7,2.7,60.0,418.0,1000.2,0.0,47.0
2025-06-01 17:03:51,1748783031.0,21.17,57.88,80.0,0.05,2.6,2.8,2.8,2.8,60.0,420.0,1000.2,0.0,47.0
2025-06-01 17:04:51,1748783091.0,21.17,57.91,80.0,0.05,2.7,2.8,2.8,2.8,60.0,426.0,1000.19,0.0,47.0
2025-06-01 17:05:51,1748783151.0,21.17,57.88,80.0,0.05,2.4,2.6,2.6,2.6,60.0,426.0,1000.19,0.0,47.0
2025-06-01 17:06:51,1748783211.0,21.18,57.91,80.0,0.05,2.1,2.3,2.3,2.3,60.0,422.0,1000.21,0.0,47.0
2025-06-01 17:07:51,1748783271.0,21.19,57.85,80.0,0.05,2.1,2.3,2.3,2.3,60.0,425.0,1000.21,0.0,47.0
2025-06-01 17:08:51,1748783331.0,21.19,57.86,80.0,0.05,2.6,2.7,2.7,2.7,60.0,425.0,1000.23,0.0,48.0
2025-06-01 17:09:51,1748783391.0,21.2,57.82,80.0,0.05,2.6,2.8,2.8,2.8,60.0,422.0,1000.22,0.0,48.0
2025-06-01 17:10:51,1748783451.0,21.2,57.84,80.0,0.05,2.6,2.7,2.7,2.7,60.0,426.0,1000.23,0.0,48.0
2025-06-01 17:11:51,1748783511.0,21.21,57.78,80.0,0.05,2.4,2.6,2.6,2.6,60.0,429.0,1000.24,0.0,48.0
2025-06-01 17:12:51,1748783571.0,21.21,57.77,80.0,0.05,2.5,2.7,2.7,2.7,60.0,429.0,1000.24,0.0,48.0
2025-06-01 17:13:51,1748783631.0,21.21,57.75,80.0,0.05,2.6,2.8,2.8,2.8,60.0,428.0,1000.24,0.0,48.0
2025-06-01 17:14:51,1748783691.0,21.21,57.73,80.0,0.05,2.3,2.4,2.4,2.4,60.0,425.0,1000.24,0.0,49.0
2025-06-01 17:15:51,1748783751.0,21.21,57.72,80.0,0.05,2.3,2.4,2.4,2.4,60.0,430.0,1000.24,0.0,49.0
2025-06-01 17:16:51,1748783811.0,21.21,57.74,80.0,0.05,2.9,3.1,3.1,3.1,60.0,424.0,1000.24,0.0,49.0
2025-06-01 17:17:51,1748783871.0,21.21,57.71,80.0,0.05,3.2,3.3,3.3,3.3,60.0,418.0,1000.24,0.0,50.0
2025-06-01 17:18:51,1748783931.0,21.2,57.74,80.0,0.05,2.8,3.0,3.0,3.0,60.0,421.0,1000.23,0.0,52.0
2025-06-01 17:19:51,1748783991.0,21.19,57.74,80.0,0.05,3.0,3.2,3.2,3.2,60.0,421.0,1000.22,0.0,54.0
2025-06-01 17:20:51,1748784051.0,21.18,57.76,80.0,0.05,2.7,2.8,2.8,2.8,60.0,418.0,1000.23,0.0,57.0
2025-06-01 17:21:51,1748784111.0,21.18,57.77,80.0,0.05,2.7,2.9,2.9,2.9,60.0,419.0,1000.23,0.0,60.0
2025-06-01 17:22:51,1748784171.0,21.18,57.83,80.0,0.06,2.7,2.8,2.8,2.8,60.0,424.0,1000.25,0.0,62.0
2025-06-01 17:23:51,1748784231.0,21.18,57.84,80.0,0.06,2.3,2.5,2.5,2.5,60.0,423.0,1000.26,0.0,63.0
2025-06-01 17:24:51,1748784291.0,21.19,57.83,80.0,0.06,2.6,2.7,2.7,2.7,60.0,424.0,1000.26,0.0,64.0
2025-06-01 17:25:51,1748784351.0,21.19,57.78,80.0,0.06,2.7,2.8,2.8,2.8,60.0,424.0,1000.26,0.0,64.0
2025-06-01 17:26:51,1748784411.0,21.2,57.81,80.0,0.06,2.6,2.7,2.7,2.7,60.0,422.0,1000.26,0.0,64.0
2025-06-01 17:27:51,1748784471.0,21.2,57.78,80.0,0.06,2.9,3.0,3.0,3.0,60.0,419.0,1000.26,0.0,64.0
2025-06-01 17:28:51,1748784531.0,21.2,57.85,80.0,0.06,2.8,2.9,2.9,2.9,60.0,422.0,1000.26,0.0,64.0
2025-06-01 17:29:51,1748784591.0,21.2,57.84,80.0,0.06,2.5,2.7,2.7,2.7,60.0,427.0,1000.25,0.0,63.0
2025-06-01 17:30:51,1748784651.0,21.2,57.86,80.0,0.06,2.4,2.6,2.6,2.6,60.0,426.0,1000.25,0.0,63.0
2025-06-01 17:31:51,1748784711.0,21.2,57.86,80.0,0.06,2.6,2.7,2.7,2.7,60.0,425.0,1000.25,0.0,63.0
2025-06-01 17:32:51,1748784771.0,21.2,57.88,80.0,0.06,2.9,3.1,3.1,3.1,60.0,425.0,1000.25,0.0,62.0
2025-06-01 17:33:51,1748784831.0,21.2,57.88,80.0,0.06,3.0,3.2,3.2,3.2,60.0,429.0,1000.24,0.0,62.0
2025-06-01 17:34:51,1748784891.0,21.2,57.87,80.0,0.06,3.1,3.3,3.3,3.3,60.0,432.0,1000.25,0.0,61.0
2025-06-01 17:35:51,1748784951.0,21.19,57.89,80.0,0.06,2.9,3.1,3.1,3.1,60.0,434.0,1000.25,0.0,60.0
2025-06-01 17:36:51,1748785011.0,21.18,57.92,80.0,0.06,2.9,3.0,3.0,3.0,60.0,427.0,1000.26,0.0,59.0
2025-06-01 17:37:51,1748785071.0,21.18,57.92,80.0,0.05,3.0,3.2,3.2,3.2,60.0,423.0,1000.27,0.0,59.0
2025-06-01 17:38:51,1748785131.0,21.17,57.9,80.0,0.05,2.5,2.6,2.6,2.6,60.0,421.0,1000.28,0.0,58.0
2025-06-01 17:39:51,1748785191.0,21.17,57.85,80.0,0.05,2.8,2.9,2.9,2.9,60.0,418.0,1000.29,0.0,57.0
2025-06-01 17:40:51,1748785251.0,21.17,57.82,80.0,0.05,3.1,3.3,3.3,3.3,60.0,417.0,1000.29,0.0,57.0
2025-06-01 17:41:51,1748785311.0,21.17,57.82,80.0,0.05,3.2,3.4,3.4,3.4,60.0,420.0,1000.28,0.0,56.0
2025-06-01 17:42:51,1748785371.0,21.16,57.81,80.0,0.05,2.7,2.8,2.8,2.8,60.0,421.0,1000.27,0.0,56.0
2025-06-01 17:43:51,1748785431.0,21.16,57.81,80.0,0.05,2.8,3.0,3.0,3.0,60.0,421.0,1000.27,0.0,55.0
